GPU Memory Track | 06-Jun-22-16:09:32 | Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb


At JTVAE/fast_molvae/jtnnvae_train.py line 76: <module> Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb

+ | 4 * Size:(28, 450)            | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(859,)               | Memory: 0.0032 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 5 * Size:(450, 450)           | Memory: 3.8623 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 3 * Size:(859, 450)           | Memory: 4.4237 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(28,)                | Memory: 0.0004 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 3 * Size:(450, 932)           | Memory: 4.7996 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 2 * Size:(450, 510)           | Memory: 1.7509 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(450, 485)           | Memory: 0.8325 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 12 * Size:(450,)               | Memory: 0.0205 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(450, 82)            | Memory: 0.1407 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(450, 521)           | Memory: 0.8943 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(450, 482)           | Memory: 0.8274 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 3 * Size:(450, 900)           | Memory: 4.6348 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(1,)                 | Memory: 3.8146 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(1, 450)             | Memory: 0.0017 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(450, 60)            | Memory: 0.1029 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(450, 40)            | Memory: 0.0686 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At JTVAE/fast_molvae/jtnnvae_train.py line 80: <module> Total Tensor Used Memory:22.6   Mb Total Allocated Memory:22.6   Mb


At JTVAE/fast_molvae/jtnnvae_train.py line 123: <module> Total Tensor Used Memory:22.6   Mb Total Allocated Memory:22.6   Mb

+ | 2 * Size:(270, 450)           | Memory: 0.9269 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(90, 450)            | Memory: 0.6179 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(25,)                | Memory: 0.0007 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(895, 1)             | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.float32
